Product,Manufacturer/Designer,Max Channels,Pixel Types,Max Voltage,Max LED Current,Parent,Unit Price (USD),Output Connectors,,Outputs,DIY/OTS,Notes,Product URL,
Orange Pi DMX,Arjan van Vught,4,single +clocked,5V,,Orange Pi,$12,,,,DIY,,http://orangepi-dmx.org/,
RaspPi Isolated DMX,Arjan van Vught,512,Allows easy control of DMX-512 devices from Pi,,,Raspberry Pi ,,XLR3/5,,DMX,OTS,,http://bitwizard.nl/shop/DMX-interface-for-Raspberry-pi,
DuotrigesimalWS28111,Brian Amos,32,Single,,,Teensy 4.1,10,Solder,,,DIY,A board similar to the octoWS2811 designed for the Teensy 4.1 with 32 output ports,https://github.com/brianamos1/DuotrigesimalWS2811,https://www.tindie.com/products/amoscomputing/teensy-41-pixel-pusher/
PixelPops,diy/board design,4,Single,5V,,ESP-01 (ESP8266),,,,,DIY,,https://www.doityourselfchristmas.com/wiki/index.php?title=ESPixel_Stick_%26_ESPixel_Pops,
Serial LED Driver,ElectroMage,8,Single or Clocked,5V,3A,Any UART / Serial,$15,Solder,,Both,OTS,,https://www.tindie.com/products/electromage/electromage-serial-to-8x-ws2812apa102-driver/,
Pro Serial LED Driver,ElectroMage,8,Single (8) or Clocked (6),12V,15A,Any UART / Serial,$49,Phoenix Screw,,Both,OTS,,https://www.tindie.com/products/electromage/electromage-pro-5-12v-8x-ws2812apa102-led-driver/,
4x LED Mini Shield,Evil Genius Labs,4,Single or Clocked,5V,,Wemos Dx Mini (ESP32/ESP8266),$5,Solder,,,DIY,,https://www.tindie.com/products/9723/,
8x LED Shield,Evil Genius Labs,8,Single or Clocked,5V,,Adafruit Feather,$7,Solder,,,DIY,,https://www.tindie.com/products/11579/,
6x LED Shield,Evil Genius Labs,6,Single or Clocked,5V,,Wemos Dx Mini (ESP32/ESP8266),$8,Solder,,,DIY,,https://www.tindie.com/products/16255/,
16x LED Shield,Evil Genius Labs,16,Single or Clocked,5V,,NodeMCU ESP32,$9,Solder,,,DIY,,https://www.tindie.com/products/15247/,
6x SMD LED Shield,Evil Genius Labs,6,Single or Clocked,5V,,Wemos Dx Mini (ESP32/ESP8266),$16,Solder,,,OTS,,https://www.tindie.com/products/19174/,
SP901E Pixel Data Distributor,Generic,8,single +clocked,24V,,8 Ch Pixel data distribution,$22,Phoenix Screw,,Both,OTS,Pixel data duplicated to 8 output channels,https://www.superlightingled.com/dc524v-4-channel-spi-signal-output-data-signal-sp901e-amplifier-for-programmable-dream-color-6803-1903-1809-1812-2811-ic-led-light-strips-p-3125.html,
RPI-28D,Hanson Electroncs,3,Single and Clocked,12V,,Raspberry Pi,$22,Phoenix Screw,,Both,OTS,,http://www.hansonelectronics.com.au/product/rpi-28d/,
ESP PixNode SDCard Adapter,Jboards,,,,,,7,,,,OTS,SD Card Adapter for ESPixelstick allows replay of Xlights Fseq files,https://jboards.ecwid.com/ESPixNode-microSD-adapter-p428060492,
Pixel String Pihat Zero,Jboards,2,,12V,,Raspberry Pi,$12,,,,,,https://jboards.ecwid.com/Pixel-String-Pihat-Zero-p133155360,
ArtgateOne,Krzysztof Korzeniowski,,1 Universe Artnet to DMX Node,12V,,Arduino Uno,,,,,DIY,"Artnet to DMX single Universe with OLED display, maintained ,modern project",https://github.com/ArtGateOne/ArtGateOne-DMX?,
Artnet to WS2812 1 Universe,Krzysztof Korzeniowski,1,single,12V,,Arduino Uno,,,,,DIY,"Artnet to 170 Pixels , single universe",https://github.com/ArtGateOne/ArtGateOne-LED,
PocketScroller V2,Kulp Lights,6,Panel,5V,,PocketBeagle,$51,HUB75,,,DIY,,https://kulplights.com/product/pocketscroller/,
F8-B,Kulp Lights,8,Single,12V,,BeagleBone,$51,Phoenix Screw,,Single,,,https://kulplights.com/product/f8-b/,
F8-PB,Kulp Lights,8,Single,12V,,BeagleBone,$81,Phoenix Screw,,Single,,,https://kulplights.com/product/f8-pb/,
F32-B,Kulp Lights,32,Single,12V,,BeagleBone,$95,Phoenix Screw,,Single,,,https://kulplights.com/product/f32-b/,
F40D-B,Kulp Lights,40,Single,5V,,BeagleBone,,RJ-45,Differential,Single,,,https://kulplights.com/product/f40d-pb/,
EspArtStick WLED,Microcyb,6,,12V,15A,Wemos D1 Mini (ESP32/ESP8266),$24,Phoenix Screw,,Single,DIY,,https://www.microcyb.com/index.html#!/WLED-5v-12V-SD-Card-WiFi-EspArtStick-pixel-controller/p/170368862/category=0,
M4 Port Pixel,Microcyb,37,Single,12V,30A,Raspberry Pi 3B+ or above,$35,Phoenix Screw,,,DIY,,https://www.microcyb.com/index.html#!/M4-PI-Raspberry-Pi-4-Port-Pixel-controller/p/468426786/category=0,
M8 Port Pixel,Microcyb,75,Single,12V,30A,Raspberry Pi 3B+ or above,$45,Phoenix Screw,,,DIY,,https://www.microcyb.com/index.html#!/M8-PI-Raspberry-Pi-8-Port-Pixel-controller/p/471859299/category=0,
Pi Hat,Microcyb,3200,2,,No,Yes,$22.00,Both,12,,Yes,Phoenix Screw,Multiple,
