Picture,Manufacturer,Link,Outline,Max Current,Max Voltage,IP Rating,Locking,Panelmount,Wire -To -Wire,PCB mount,Smallest Guage,Largest Guage,Pitch,Contact Type,Solder?,Screw Terminal?,Crimp?,IDC?,Board Fingers,Gendered,Min Pins ,Max Pins,Rows,Year Intoduced,End of Life,Pinout,Convention,Colors,Digikey,Mouser,Notes
DuPont,Harwin/ Generic,https://www.mattmillman.com/info/crimpconnectors/dupont-and-dupont-connectors/,Rectangular,1 A,50 V,No,Friction,No,Yes,PTH,28 AWG,24 AWG,2.54mm,Pins,Yes,,Yes,No,No,Yes,1,12,1,,,,,Black shell,,,"Arduino standard patch connector, Harwin clones, proper crimp tool 400USD+ , lesser crimp tools not up to job"
SH,JST,https://www.jst-mfg.com/product/detail_e.php?series=231,Rectangular,1 A,50 V,No,Latching,No,Yes,Both,30 AWG,28 AWG,1.0 mm,Pins,Yes,,Yes,No,No,Yes,2,25,2,,,,,,,,
D.C. Barrel ,Generic,https://www2.mouser.com/Connectors/Power-Connectors/DC-Power-Connectors/_/N-axip3?keyword=2.1mm%20jack,Circular,2 A,30 V,IP20-IP65,Friction,Yes,Yes,PTH,24 AWG,18 AWG,,Pins,Yes,,Yes,Yes,No,Yes,2,2,,,,+pin -sleeve,Female source,,,https://www2.mouser.com/Connectors/Power-Connectors/DC-Power-Connectors/_/N-axip3?keyword=2.1mm%20jack,D.C Barrel Connector. 5.5mm barrell with a 2.1mm centre pin is most common; 2.5 mm pin looks similar but dosent fit.
PH,JST,http://www.jst-mfg.com/product/detail_e.php?series=199,Rectangular,2 A,100 V,No,Detent,No,No,Both,24 AWG,24 AWG,2.0 mm,Pins,Yes,,Yes,No,No,Yes,2,,1,,,G D V,,White,,,"R.C, Lipo Balance connector , Internal connector in some controllers 2.5mm noot 2.54 (1/10"") pitch runs off on boards drilled for 2.54"
PicoBlade,Molex,https://www.molex.com/molex/products/family/picoblade,Rectangular,3 A,125 V,No,Latching,No,Yes,Both,28 AWG,26 AWG,1.25 mm,Pins,Yes,,Yes,No,No,Yes,2,15,1,,,,,,,,Molex massive US connector maker
XH,JST,https://www.digikey.com/en/product-highlight/j/jst/xh-series-connectors,Rectangular,3 A,250 V,No,Latching,No,Yes,Both,30 AWG,22 AWG,2.5 mm,Pins,Yes,,Yes,No,No,Yes,1,20,,,,,,White,https://www.digikey.com/en/product-highlight/j/jst/xh-series-connectors,,
SM,JST,http://www.jst-mfg.com/product/detail_e.php?series=238,Rectangular,3 A,250 V,No,Latching,Yes,Yes,No,,,2.54 mm,Pins,Yes,,Yes,No,No,Yes,2,,1,,,G D [C] V,Female source (shrouded male on LEDs),"White, Black",,,Most popular LED strip connector seen
DF62W,Hirose,https://www.hirose.com/product/series/DF62W#,Rectangular,4 A,30 V,IP67,Latching,Yes,Yes,PTH,20 AWG,26 AWG,2.2 mm,Pins,No,,Yes,No,No,Yes,2,9,,,,,,,,,W is water resistant version. PCB and Wire to wire make it competitor to JST SM
M12,Generic,https://uk.rs-online.com/web/p/industrial-circular-connectors/2906584/,Circular,4 A,50 V,IP67,Screw Lock,Yes,Yes,PTH,22 AWG,14 AWG,,Pins,Yes,,Yes,No,No,Yes,3,8,N/A,,,,,Black,,,"Originally sensor connectors for automation, low cost varieties available "
Molex KK AKA KF2510,Molex,https://www.molex.com/molex/products/family/kk,Rectangular,4 A,250 V,No,Latching,No,No,PTH,30 AWG,22 AWG,2.54mm,Pins,Yes,,Yes,No,Yes,Yes,2,36,,,,,"Male jack on board, female plug",,,,"Molex KK Pitch 2.54 ( 1/10"") Arduino pitch also 3.96 and 5.08 . Industrial standard connector common in amusement machines. Larger contact area than XH. Clones KF2510 2.54 CH 3.96  and CH5.08"
Rean RT4,Rean / Neutrik,https://www.rean-connectors.com/en/product/rt4fc-b-1,Circular,5 A,250 V,IP40,Latching,Yes,Yes,No,28 AWG,24 AWG,,Pins,Yes,,No,No,No,Yes,3,5,,,,,,,,,"MIni XLR , 13mm Diameter, used on Shure and other microphones"
Pigtails,Generic,https://www.wiredwatts.com/wire,Circular,5 A,50 V,IP55,Friction,No,Yes,No,20 AWG,18 AWG,,Pins,Yes,,Yes,No,No,Yes,2,4,,,,,,Black,,,"Round moulded on connectors popuar with Holiday light community, several similar but incompatible styles"
Binder 720,Binder,https://uk.farnell.com/c/connectors/circular-connectors-components/circular-industrial-connectors?brand=binder&product-range=720-series,Circular,5 A,250 V,IP67,Detent,Yes,Yes,No,28 AWG,22 AWG,,Pins,Yes,No,No,No,No,Yes,3,12,,,,,,Colou Coded Collar,,,
SP13,Weipu,https://www.weipuconnector.com/sp13-series/,Circular ,5 A,250 V,IP68,Screw Lock,Yes,Yes,No,24 AWG,20 AWG,,Pins,Yes,,No,No,No,Yes,2,9,N/A,,,,,Black Blue collar,,,"Glass filled nylon shell with gold plated brass solder  contacts.Weipu originator of format, cheaper clones around. SP 12/13/16/17/20/21/28 shelll sizes LD16/20/28 Screw Terminal clone"
9159,AVX,https://www.avx.com/products/connectors/board-to-board/standard-card-edge-00-9159/,Rectangular,5 A,125 V,No,Latching,No,Yes,SMT,24 AWG,22 AWG,3.0 mm,Spring,Yes,,Yes,Yes,Yes,Yes,2,6,1,,,,,White,https://www.digikey.com/short/zvwmnz,,
Bulgin ` Disco`  8 pole,Bulgin,https://uk.farnell.com/bulgin/px0551/plug-8way-6a-free/dp/151740,Circular,6 A,250 V,No,Friction,Yes,Yes,PTH,28 AWG,18 AWG,,Pins,Yes,Yes,No,No,No,Yes,8,8,,,,,,Black,,https://www.mouser.co.uk/datasheet/2/57/bulgs00368_1-2263014.pdf,"Bulgin, long established UK connector maker, 8 pole onnector popular with mobile discos. Used to be panel mount Sockets and male to male leads, now follow outlets on Sockets only."
GX-16,Generic,https://www.renhotecpro.com/gx16-connector-data-sheet/,Circular,7 A,100 V,IP30,Screw Lock,Yes,Yes,No,24 AWG,20 AWG,,Pins,Yes,,No,No,No,Yes,2,10,N/A,,,,,Silver Metal Black Plastic,,,"AKA Aviation Connector, CB Mic Connector, most common in 4 pin variant,Chrome metal Shell and IP65 Version in Black Plastic *Legacy Connector NOT For New Designs*"
XLR 5,Neutrik /Generic,https://www.neutrik.com/en/products/lightning/xlr,Circular,10 A,50 V,IP40,Latching,Yes,Yes,Both,22 AWG,14 AWG,,Pins,Yes,,Yes,Yes,No,Yes,2,7,N/A,,,,"Female output jack, male input jack","Black, Silver, optional colored collars",,,"5 Pin is USITT Standard for DMX 512, Pins 4 + 5 Not Used In Standard. Beware of power or second universe on non standard pinouts . XLR 4  scroller cable 2 data+2 power, XLR 6 comms & video gear."
LD16  /20/28,Generic,https://www.aliexpress.com/item/1005003521328338.html,Circular,10 A,250 V,IP68,Screw Lock,Yes,Yes,No,28 AWG,14 AWG,,Pins,No,Yes,No,No,No,No,2,7,,2022,,,,Black Blue,,,"Screw Terminal ,   No Soldering !,   version of SP16/17/20/21/28 LD13 is 2 termnal only, LD16 /20 /28 shell sizes"
Mini Bucaneer,Bulgin,https://www.bulgin.com/us/products/range/circular-power-connectors/mini-series.html,Circular,10 A,250 V,IP68,Screw Lock,Yes,Yes,No,24 AWG,18 AWG,,Pins,Yes,,Yes,No,No,Yes,1,8,,,,,,Black Blue collar,,,"Bulgin, long established UK connector maker, available with crimp or screw terminals. locking collar can be fragile with rough handling"
SP17,Weipu,https://weipuconnector.com/product/38,Circular,10 A,500 V,IP68,Screw Lock,Yes,Yes,No,22 AWG,14 AWG,,Pins,Yes,,Yes,No,No,Yes,2,10,N/A,,,,,Black Blue Collar,,,"Also available is SP21 and SP29 , clones in SP16 and SP28"
Chogori (Standard size),Chogori,http://suomi.chogori.pro/produkciya.html,Circular,10 A,60 V,IP68,Latching,Yes,Yes,No,,,,Pins,Yes,,No,No,No,Yes,2,12,,,,,,,https://www.digikey.co.uk/en/products/filter/circular-connectors/circular-connector-assemblies/436?s=N4IgjCBcoBw1oDGUBmBDANgZwKYBoQB7KAbRACZyBOABhogF0CAHAFyhAGVWAnASwB2AcxABfAgFp40EMkjps%2BIqQpgArDRANxICQBYEs1JlwFikMmoDsVgMzktop0A,,"Push Lock IP 68 used on Rosco Lite Panels and some other LED products, Mini Standard and Large sizes "
VH /R,JST,https://www.jst.com/wp-content/uploads/2021/08/eVH.pdf,Rectangular,10 A,250 V,No,Latching,No,Yes,PTH,22 AWG,16 AWG,3.96mm,Pins,No,,Yes,No,No,Yes,2,11,1,,,,,,,,"Optikinetics wheel rotator connector , post 2000s"
MTSB CombiCon ,Phoenix Contact,https://in.rsdelivers.com/product/phoenix-contact/1757035/phoenix-contact-classic-combicon-mstb-non-fused/1896032,Rectangular,10 A,300 V,No,Friction,No,No,Both,20 AWG,10 AWG,5.08 mm,Pins,Yes,,Yes,Yes,Yes,Yes,2,12,1,,,,,Green,https://www.digikey.com/en/products/detail/phoenix-contact/1757035/260381?s=N4IgTCBcDaIIwHYCsCAMBmJIC6BfIA,,"Also in 2.54 mm pitch , and literally thousands of variations"
Deutsch DT,TE Deutsch,https://www.te.com/usa-en/products/connectors/automotive-connectors/intersection/deutsch-dt-series-connectors.html?tab=pgp-story,Rectangular/Triangular,13 A,230 V,IP68,Latching,Yes,Yes,PTH,20 AWG,14 AWG,,Pins,No,,Yes,No,No,Yes,2,12,2,,,,,,,,"Automotive and Marine connector series , compatible/knock offs common, specific crimp tool required"
EN3,Switchcraft/Conxall,https://www.conxall.com/Documents/en3.pdf,Circular,13 A,250 V,IP68,Twist Lock,Yes,Yes,PTH,28 AWG,16 AWG,,Pins,Yes,,Yes,No,No,Yes,2,,,,,,,,,,"Switchcraft/Conxall , long established USA connector maker, available with straight and right angle PCB mounting"
Mini-Fit Jr,Molex,https://www.molex.com/molex/products/family/minifit_power_connector_solutions,Rectangular,13 A,600 V,No,Latching,No,Yes,PTH,28 AWG,16 AWG,4.2 mm,Pins,No,,Yes,No,No,Yes,2,16,2,,,,,Nylon Natural,,,Available with 2 wire into single crimp. 
Superseal,TE /AMP,https://www.te.com/content/dam/te-com/documents/automotive/global/1654292-2_AMP%20SUPERSEAL%201.5.pdf,Rectangular,14 A,24 V,IP68,Latching,Yes,Yes,No,22 AWG,14 AWG,6.0 mm,Pins,No,,Yes,No,No,Yes,1,8,2,,,,,,,,"AMP Superseal original product ,automotive and marine series, much copied . Requires specific crimp tool for contacts."
XLR 3,Neutrik /Generic,https://www.neutrik.com/en/neutrik/products/xlr-connectors/xlr-cable-connectors?c=audio,Circular,16 A,50 V,IP40,Latching,Yes,Yes,Both,22 AWG,14 AWG,,Pins,Yes,,Yes,Yes,No,Yes,2,7,N/A,,,,"Female output jack, male input jack","Black, silver, optional colored collars",,,"AKA Cannon, original with side grub screw, Neutrik developed chuck cable grip. Metal bodied world standard audio and microphone connector, 5 pin  for DMX512"
PowerCon,Neutrik,https://www.neutrik.com/en/neutrik/products/powercon,Circular,16 A,250 V,IP65,Latching,Yes,Yes,No,20 AWG,12 AWG,,Blade,Yes,Yes,Yes,No,No,Yes,3,3,N/A,,,,,"Black, silver, white, blue, grey",,,"Powercon is orginal blue , True 1 was IP rated version frequent latch failure, True1 TOP is current reccomended mains power connector Seetronic common Compatible/Clone. Grey is recommended (cheap) and not readily used elsewhere"
CEE Form,Generic,https://www.epanorama.net/blog/2021/08/19/ceeform-connectors/,Circular,16 A,415 V,IP65,Latching,Yes,Yes,No,22 AWG,12 AWG,,Pins,No,Yes,Yes,No,No,Yes,3,7,,,,,,Yellow 110V Blue 240V Red 415V,,,Also known in building trade as Commando Connectors. 16A Blue 3 Pin single phase popular European connector for stage power distribution. Red Three Phase connector up to 125A  . Other colours used for low voltage
EventCon,GLP,https://ehrgeiz.glp.de/en/products/accessories/eventcon,Circular,16 A,250 V,IP67,Latching,No,Yes,No,20 AWG,12 AWG,,Pins,,No,No,No,No,Yes,6,6,N/A,2023,,,,,,,Combined power and DMX connector. push locking. No panel mount connetors currently (3/24)
Hirschmann CA,Lumberg /Belden,https://uk.farnell.com/c/connectors/circular-connectors-components/circular-industrial-connectors?product-range=ca-series,Circular,16 A,400 V,IP67,Screw Lock,Yes,Yes,No,22 AWG,12 AWG,,Pins,Yes,Yes,No,No,No,Yes,3,7,N/A,,,,,,,,panel mount ones fit in a D-size/XLR cutout
Wieland RST,Wieland,https://www.wieland-electric.com/en/products/electrical-installation/connection-systems-high-protection-class/rst-classic/,Circular,16 A,400 V,IP69,Latching,Yes,Yes,No,22 AWG,12 AWG,,Pins,No,Yes,Yes,No,No,Yes,2,7,,,,,,,,,"IP 69 Fully Waterproof with sealing rings, Available in Micro to Power size series"
TeePlug,Hylec,https://www.hylec-apl.com/Weatherproof-Waterproof-Connectors-Range/TeePlug-and-Sockets/THB_387_C4A.html,Circular,18 A,450 V,IP68,Screw Lock,Yes,Yes,No,6 AWG,16 AWG,,Pins,No,Yes,No,Yes,No,Yes,2,6,,,,,,Green or Grey Collar,,,"4.0mm2 conductor aceptance   Screw Terminal! , no soldering or crimping     Also appear under Techno brand"
Mate-N-Lok,TE /AMP,https://www.te.com/usa-en/products/brands/mate-n-lok.html?tab=pgp-story,Rectangular,19 A,600 V,No,Latching,No,Yes,PTH,30 AWG,10 AWG,5.1 mm,Pins,No,No,Yes,No,No,Yes,2,10,2,,,,,Range of Colours,,,Popular automotive connector
Socapex,Amphenol / Generic,https://p3connectors.com/what-are-socapex-connectors/,Circular,23 A,600 V,IP67,Screw Lock,Yes,Yes,PTH,20 AWG,12 AWG,,Pins,Yes,,Yes,No,No,Yes,4,36,,1962,,,,,,,"19 Pin Socapex World standard 6 circuit mains multi core connector for production use, accepts up to 2.5mm per pin cable."
Harting Han/ Lectriflex,Harting,https://www.harting.com/US/en/heavy-duty-electrical-connectors#Han%C2%AE-Rangee,Rectangular,25 A,450 V,IP40,Latching,Yes,Yes,No,28 AWG,10 AWG,,Pins,Yes,Yes,Yes,Yes,No,Yes,2,36,,,,,,,,,"Harting Han rectangular AKA 16 pin Lectriflex as alternative to Socapex in stage lighting. Multi pin mains connector , modular able to have power , data and even hose lines on one connector."
Speakon,Neutrik,https://www.neutrik.com/en/neutrik/products/speakon-loudspeaker-connectors/speakon-cable-connectors,Circular,30 A,250 V,IP30,Latching,Yes,Yes,No,18 AWG,10 AWG,,Blade,Yes,,No,No,No,Yes,2,8,N/A,,,,,Multi,,,"World Standard professional amplifier to speaker connector, compatibles offer low cost high current connector , if avoid mix up with audio...."
Wago 221,Wago,https://www.wago.com/global/electrical-interconnections/discover-installation-terminal-blocks-and-connectors/221,Rectangular,32 A,450 V,No,Latching,No,Yes,No,28 AWG,10 AWG,10.0 mm,Spring,No,No,No,No,No,No,2,5,1,,,,,Clear/Orange,,,"Successor to Wago 222 Tool free, lever clamping wire to wire connectors, wide range of wire diameter acceptance in stranded or solid Ideal for thin taps of thick bus lines"
PowerPole 15/45,Anderson,https://www.andersonpower.com/us/en/resources/PowerPoleResourcesPage.html,Rectangular,55 A,600 V,IP65 Available,Friction,Yes,Yes,PTH,20 AWG,6 AWG,15.9 mm,Blade,Yes,No,Yes,No,No,No,1,16,N/A,1958,,,"When viewed from mating connector's perspective with tongues on the bottom, the red housing is on the left",Multi,https://www.digikey.com/en/products/filter/blade-type-power-connectors-accessories/360?s=N4IgTCBcDaIIYDsAmBTATgZwPYIAQAcsB3dQgGxRAF0BfIA,,"Anderson PowerPole, Genderless, Clip together shells in 11 colours, Radio HAM power standard,  panel mounting and waterproofing options.Extremely robust mixed signal and high current connector."
IC5  EC5,Spektrum,https://blog.ampow.com/ic5-vs-ec5-connector/,Rectangular,60 A,24 V,No,Friction,No,Yes,No,20 AWG,10 AWG,12.0 mm,Pins,Yes,,No,No,No,Yes,2,3,1,2018,,,,IC5 Orange EC5 Blue,,,IC5 LiPo battery connector with Third pin for charger commnunication. EC5 mates with IC5 BUT no third pin
MT30/60,Generic,https://www.flyingtech.co.uk/cables-connectors/amass-nylon-mt60-3-pole-motor-esc-35mm-connector,Triangular,30/60,60 V,IP20-IP65,Friction,No,Yes,No,20 AWG,16 AWG,,Pins,Yes,No,No,No,No,Yes,3,3,,2018,,,,Yellow or Black,,,3 Pin XT 60
XT60/90,Generic,https://www.sparkfun.com/products/10474,Rectangular,60/90,42 V,No,Friction,No,Yes,PTH,22 AWG,10 AWG,10.0 mm,Pins,Yes,No,No,No,No,Yes,2,2,1,,,,"Female source, shrouded male load","Yello, black",,,"Also XT30, 30A  & XT90 ,90A , Standard connector for LiPo batteries in RC, generic connector, some poor quality versions around dimensions http://cdn.sparkfun.com/datasheets/Prototyping/xt60.pdf"
