,Manufacturer,SoC,CPU,ISA,Clock Speed,Flash,RAM,Linux,Max outputs,Minimum Input Voltage,Max Input Voltage,GPIO Voltage,USB,TTL Serial,Wi-Fi,PoE,Ethernet,Bluetooth,Storage,BMS,IMU,Unit Price (USD),Release Year,Product URL,Notes
Trinket M0,Adafruit,ATSAMD21E18,ARM Cortex-M0,ARMv6-M,48MHz,256kB,32kB,No,4,,5V,3.3V,OTG,Yes,,,,,,Diode,No,$9,,https://www.adafruit.com/product/3500,
NRF 52840 Feather,Adafruit,NRF 52840,ARM Cortex-M4,ARMv7-M,64MHz,1MB,256kB,,21,,,,Power + UART,,,,,BLE,,1S,Wing,$25,2021,https://www.adafruit.com/product/4062,
Feather M0 WiFi,Adafruit,ATSAMD21G18,ARM Cortex-M0,ARMv6-M,48MHz,256kB,32kB,No,,,,3.3V,OTG,Yes,2.4GHz,,,,,1S,Wing,,,https://www.adafruit.com/product/3010,
Arduino Mega 2560 Rev3,Arduino,ATmega2560,AVR,,16MHz,256kB,8kB,No,54,6V,20V,,Power + UART,,No,,,,,No,No,$40,,https://store-usa.arduino.cc/collections/boards/products/arduino-mega-2560-rev3,
Arduino Micro,Arduino,ATmega32u4,AVR,AVR5,16MHz,32kB,2.5kB,No,,,5V,5.0V,OTG,Yes,,,,,,No,No,,,https://store.arduino.cc/usa/arduino-micro,
ATtiny85,Atmel,ATtiny85,AVR,AVR2.5,16MHz,8kB,512B,No,6,,5V,5.0V,No,Yes,,,,,,No,No,$1,,https://www.microchip.com/wwwproducts/en/ATtiny85,
PocketBeagle,Beagleboard.org,am3358,"Cortex-A8, 2x PRUSS",ARMv7,1.0GHz,microSD,512MB,Yes,40,5V,5V,3.3V,OTG,Yes,USB,,USB,,microSD,1S,No,$25,2017,http://beagleboard.org/pocket,
Beaglebone Black,Beagleboard.org,am3358,"Cortex-A8, 2x PRUSS",ARMv7,1.0GHz,4GBeMMC/microSD,512MB,Yes,48,5V,5V,3.3V,USB 2.0,Yes,USB,,100BASE-TX,,microSD,No,No,$50,2012,http://beagleboard.org/black,
Ebyte NRF 52840,Ebyte,NRF 52840,ARM Cortex-M4,ARMv7-M,,,,,,,,,,,,,,BLE,,,,$10,2021,https://www.ebyte.com/en/new-view-info.aspx?id=378,
t-eth-lite,Lilygo,ESP32  S3,Xtensa LX6,Xtensa,,microSD,,,,,,,,,2.4GHz,Y,100BASE-TX,4.1,,,,$15,2024,https://www.lilygo.cc/products/t-eth-lite,https://github.com/Xinyuan-LilyGO/LilyGO-T-ETH-Series
TTGo ESP32 PoE,Lilygo,ESP32,Xtensa LX6,Xtensa,,,,No,,,,3.3V,Power + UART,,2.4GHz,Y,100BASE-TX,4.2,,,,$16,2020,http://www.lilygo.cn/prod_view.aspx?TypeId=50033&Id=1307&FId=t3:50033:3,
NodeMCU v2,NodeMCU,ESP8266,Diamond Standard 106Micro,Xtensa,,,,No,,,,3.3V,No,Yes,2.4GHz,,,4.1,,No,No,,,https://components101.com/development-boards/nodemcu-esp8266-pinout-features-and-datasheet,
