,URL,Color Rendition,Light Transmission,Flexible/Rigid,Purpose Made ?,Properties,Fire Retardent?,Tinted/Clear,Sample thickness (inches),Diffusivity,Sizes Available,Material Type,$$$$,Usage Notes
Neutral Cure Silicone,"https://www.idealsealants.com/acetoxy-vs-neutral-cure-silicone-i30#:~:text=An%20acetoxy%20silicone%20is%20a,non%2Dacidic%20substance%20whilst%20curing.",2-5,2-4,F,N,Diffusive,N,T&C,,3-4,,RTV Silicone rubber,$$,"Clear and white silicone sealant, clear good for things like candle flames,sculpt with plastic fork Neutal cure preferred near solder and copper"
"White Acrylic  2447,7328,7508",https://www.eplastics.com/SAMPLE-ACRYWHITE,2-3,3,R,Y,Diffusive,Y,T,0.113,3-5,,PMMA,$$$,"white acrylic, various shades"
LCD TV diffuser,https://nofilmschool.com/diy-light-panel-busted-lcd-tv,5,5,R,Y,Backlight,T,T,,5,,PMMA PET,$,"Flat screen backlight repurposed as large even light plate, artificial skylight"
Etched Vinyl,https://www.mdpsupplies.co.uk/glass-lightbox-films/etched,5,5,F,Y,Backlight,Y,C,,3,600mm X 50m,PVC,$$$,"Self Adhesive etch effect for glass and acrylic polycarbonate, sparkle effect is a good source hiding look, far more effective than sanding with sandpaper"
Rowlux,https://www.orafol.com/en/americas/products/category/advanced-polymer-films-rowlux-illusion-film,5,3,F,Y,Backlight & Edgelight,Y,T&C,0.015,2,,"PET,PVC,PC, TPU",$$$$,Lenticular embossed plastic sheet
Lee Theatrical Filters,https://www.leefilters.com/lighting/zircon.html#zircon-divider-diffusion,5,3,F,Y,Diffusive,Y,C,,4,,Polyester,$$$,"Lee Filters, professional theatre and photo gel,  diffusion range and Zircon LED specific diffusion; Zircon 810 is a solid choice"
Rosco Diffusion,https://emea.rosco.com/en/products/catalog/filters-diffusions,5,3,F,Y,Diffusive,Y,T&C,,4,,Polyester,$$$,Rosco theatrical diffussion
Plastic ` glass` Shards,https://tjlighting.co.uk/product/fake-clear-plastic-iceglass-shards/,5,4,R,N,Diffusive,,,,4,,Acrylic PMMA,$$$,Packing in larger clear or diffuse pipe or vase
Harmonia PC (1050-24)-(3050-24),https://www.plastix-world.com/better-with-a-diffusing-polymers/,5,3-4,R,Y,Diffusive ,Y,T,0.087,3-4,,"PMMA, PC, ",$$$$$,reflective (unknown) dopant several polymer options
Makrolon DQ (5122)-(5162),https://solutions.covestro.com/en/highlights/articles/cases/2019/trevos,5,3-4,R,Y,Diffusive ,Y,T,0.080,3-4,,PC,$$$$$,doped polycarbonate (index mismatch)
Perspex G-Lux Edge Lit Acrylic,https://www.perspex.co.uk/materials/perspex-cast-acrylic/s-lux-and-g-lux/,5,4,R,Y,Edge Lit front diffuser,,,,3,,doped PMMA,$$$$,"Appears clear , lit from edge diffuses light front"
