`,Developer,Hardware,Features,URL,YouTube ,Instructional Resources,Instructional Resources
Arduino Ethernet Nano with ENC28J60,Xaver2K,Arduino Nano &Ethernet Shield,WS2811/12 Ethernet Hardwire,https://github.com/Xaver2k/ArduinoENC_Artnet-WS2811,,,
Artemis,Robert Beekman,PC /  Video source,Artemis is a lighting software for gamers that creates realistic lighting effects by using device location.,https://artemis-rgb.com/,,,
Artnet Receive,natcl,Arduino/Teensie/ESP8266, ,https://github.com/natcl/Artnet,,,
ArtNet to TMP2 Convertor,ATCE,,Wireshark captured artnet stream convert to TMP2(Jinx native) file,http://www.tlhome.de/ATCE.htm,,,
ArtNet_DMX_SD_Card,tangophi,NodeMcu /ESP8266/32,store DMX frames received through Artnet on a nodemcu or a ESP8266/ESP12 module to a SD card,https://github.com/tangophi/Artnet_DMX_SD_Card,,,
Artnet2twinkly,John Lord,Twinkly,"ArtNet to Twinkly consumer lights via wifi, allows control of Twinkly via professional lighting controls",http://artnet2twinkly.com/,https://youtube.com/channel/UCbd2w11mMNXC9Qekdho1bYw,,
ArtnetWiFi,RStephan,ESP8266/32,,https://github.com/rstephan/ArtnetWifi,,,
branchController2,jspolsky,Teensy,"Teensy 3.2 branch controller for up to 8 separate LED strips, based on instructions received over TCP-IP.",https://github.com/jspolsky/branchController2,,,
ESP-131 GPIO,Gary Mueller,ESP8266,ESP E1.31 sACN to 8 channel relay decoder/driver,https://github.com/garymueller/ESP-131GPIO,,,
ESPixelstick,Shelby Merrick,ESP8266/32,,https://github.com/forkineye/ESPixelStick,,,
FAB_LED,Sonyhome,Arduino,"Ws2812/Apa102/neopixel/dotstar etc. Compact code&data, Separates driver from pixel array, no assembly code, support palette and up to 8 strips in parallel.",https://github.com/sonyhome/FAB_LED,,,
Fade,Eric Arcana,ESP32,Programming language based WS2812 and PWM LED ESP 32  with Windows based programming interface,http://www.riderx.info/fade-an-esp32-animation-system/,https://www.youtube.com/watch?v=-CXQz1x2k9o,,
FastLED,"Zach Vorhies (current), Daniel Garcia, Mark Kriegsman",many,,https://github.com/FastLED/FastLED,https://www.youtube.com/watch?v=4Ut4UK7612M,,
fastLEDVirtualDriver,hpwit,,,https://github.com/hpwit/FASTLEDVIRTUALDRIVER,,,
LED Mapper,Jason Coon,Arduino/ Esp 66/32,"An online tool to generate and visualize maps for irregular and/or gapped LED layouts, for use with FastLED, Pixelblaze and other libraries.",https://github.com/jasoncoon/led-mapperr,,,
LED Strip Effects Generator,Adriano,Arduino,"Create your animation for the Neopixel LED Strip and press ""Generate Arduino Code"" to get it as code.",,,,
Lightwork,PWRFLcreative,,Webcam LED mapping,https://github.com/PWRFLcreative/Lightwork,,,
MobaLedLib,Hardi-St,Arduino/ ESP32,"ESP32  49152 LEDs / DMX512 , signals, sound modules,servos or other actuators via one signal line ,originally model rail aimed useful beyond",https://github.com/Hardi-St/MobaLedLib,,,
NeoPixel,Adafruit,many,"WS281x, SK6812",https://github.com/adafruit/Adafruit_NeoPixel,https://www.youtube.com/watch?v=vCDfyxNFeEw,,
NightDriverStrip,PlummersSoftwareLLC,ESP32,8 channels of WS2812B Python / C++ Pattern Creator,https://github.com/PlummersSoftwareLLC/NightDriverStrip,https://www.youtube.com/watch?v=UZxY_BLSsGg,,
OctoWS2811,PJRC,Teensy,,https://www.pjrc.com/teensy/td_libs_OctoWS2811.html,,,
OpenRGB,Adam Honse,PC RGB hardware," control all of your RGB devices from a single app, on both Windows and Linux, ",https://openrgb.org/index.html,,,
Orange PI DMX,Arjan van Vught,Orange Pi,"Tested and documented projects. Bare metal programming of low cost Orange Pi to Pixel, Artnet and DMX devices.",https://www.orangepi-dmx.org/,,,
TeensyDMX,Shawn Silverman,"Teensy LC, 3, 4","Teensy DMX RX/TX with support for responding to specific start codes, plus many other features",https://github.com/ssilverman/TeensyDMX,,,
TriantaduoWS2811,Ward Ramsdell,Teensy4.0,32 channels of 1000 LEDs per channel at 33 frames per second,https://github.com/wramsdell/TriantaduoWS2811,,,
Visuino,Mitov Software,Arduino/Esp66/32/ RasPi/MicroBit/Teensy,"Windows Graphical Development tool,simple no coding project deveopment.  Good support for WS2812. ",http://visuino.com/,,,
WLED,Aircookie,ESP8266/32,"Android/Apple App available, built-in patterns, sACN receiver",https://github.com/Aircoookie/WLED,https://www.youtube.com/watch?v=2wM067jRki8,https://install.wled.me/,https://www.welcometothefuture.one/blog/wled-get-started  
XOD,XOD Inc/Open Source,Arduino/ ESP 66/32,"Windows/Mac/Linux Graphical, no coding, Arduino Programming with limited native WS2812 support",https://xod.io/,,https://www.youtube.com/watch?v=XU0u5OEra3o,
BLIP,Benjamin Kuperberg,ESP32,"OSCQuery Enabled, ArtNet multi-ledstrip controller and multi purpose firmware (GPIO, motors, etc.) with a unified control system. ESPNow compatible",https://github.com/Golden-Geek/BLIP/,,,
