,Manufacturer/Designer,Max Channels,Pixel Types,Unit Price (USD),Output Connectors,Outputs,DIY/OTS,Notes,Product URL,,,,
ATtiny10,Wayne Holder,1,allows driving 3-wire clockless leds with 4-wire clocked protocol. Experimental ,$1.00,"solder, breakout",,DIY,Wayne only provides a proof of concept.,"https://sites.google.com/site/wayneholder/besting-ben-heck, https://youtu.be/WRpBvGvh-7Q",,,,
Baldrick DMX,Ilightthat,512,WS28XX data to DMX 512,75,RJ45,,OTS,3 and 5 pin and RJ45 DMX outputs on board,https://baldrickboard.com/docs/category/baldrickdmx,,,,
Controller Changeover,Wasatch Pixels,2,WLed override from other pixel control to single output,$12.00,Phoenix,Data,OTS,,https://www.tindie.com/products/k7bbr/led-controller-multiplexer/,,,,
NeopixelBooster,"Jan ""yaqwsx"" Mrázek",,Inline 5V buck convertor,$3.50,solder,,,,https://www.tindie.com/products/yaqwsx/rb0004-neopixelbooster/,,,,
Pixel 2 DMX,Experience Lights,512,WS28XX data to DMX 512,40V,X Connect /XLR3,DMX,OTS,,https://experiencelights.com/pixel2dmx---realtime-dmx-bridge/,,,,
Pixel 2 Things Relay,David Peace,9,Converts pixel data into relay drivers capable of switching 120VAC,$99.00,Screw Terminal,Relay,OTS,WSXX to 9 Relay ouput card,https://www.pixel2things.com/,,,,
Pixel 2 Things Servo,David Peace,15,Converts pixel data into hobby servo outputs,$99.99,Phoenix Screw,PWM,OTS,WS to 9DC and 6 Servo Outputs,https://www.pixel2things.com/,,,,
Pixel Data Isolator ,Essence Engineering ,1,provides a 5kV isolated data connection from controller to LED when each are powered separately.,$16.99,solder,Data,OTS,,https://www.tindie.com/products/essenceeng/fajardo-led-data-isolator/,,,,
PixFog Pixel Based Fog Controller,Innotronix,1,single,,,Pixel Data,$33,Phoenix Screw,,,OTS,"Single channel intensity variable fog controller for specific fog machines,",https://innotronix.net/PixFog-Pixel-Based-Fog-Controller-p232730399
QuinLED Dig2Analog,Quindor / Intermittent Technology,4,ws2814 to RGBW PWM Mosfet output,$7.49,Screw Terminals,PWM,OTS,"4x 2kHz PWM output, 3A fuse, Daisy chain ability",https://quinled.info/quinled-dig2analog/,,,,
WS2811 MosFet  Driver,Eagle Decorations,3,WS2811 to High current Mosfet,$10.00,"solder, ",,,,https://www.tindie.com/products/ericgu/ws2811-ws2812-extender/,,,,
WS2811 MosFET Driver,NLed,3,WS2811 to High current Mosfet,$18.00,,,,,https://store.nledshop.com/index.php/nled-ws2811-mosfet-driver-module.html,,,,
WS2811 MosFetDriver,Freetronics,3,WS2811 to High current Mosfet,$4.00,,,,,https://www.freetronics.com.au/products/addressable-n-mosfet-driver-output-module#.XiWsEDL7TIX,,,,
LED Strip Driver Module,AliExpress,3,WS2811 to High current Mosfet,$1,Screw Terminals,PWM,,,https://de.aliexpress.com/item/32786272573.html?spm=a2g0o.productlist.main.19.4039UqYwUqYwEq&algo_pvid=8add68a7-f316-420a-88fd-aec8a96d9bd9&algo_exp_id=8add68a7-f316-420a-88fd-aec8a96d9bd9-9&pdp_ext_f=%7B%22order%22%3A%22100%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%212.46%210.98%21%21%212.48%210.99%21%40211b430817386563933403178e4f0f%2163365110433%21sea%21AT%210%21ABX&curPageLogUid=zQTH3Os98s1N&utparam-url=scene%3Asearch%7Cquery_from%3A,,,,
