,PWM Frequency,Channels,Channel Bits,Aggregate Bits,Clocked,Data BitRate,Pixel Data Size,Pixel Rate Max,Output Voltage,Supply Voltage,GPIO Min,GPIO Max,Max Current,Quiescent Current,Package Size,Pin Count,Data Type,Backup Data Line,Max pixel per string,Release Year,NOTES,3rd Party Testing,Datasheet URL,Other Links
DMX512,3.0kHz,3,8,,No,650kHz,24 Bits/Pixel,27.1 k Pixel / s,24V,5V,,,,,SOP8,8,DMX512P,No,,,,,,DMX512 Pixel Protocol Overview | Advatek Lighting
GS8202,8.0kHz,3,8,12,No,,,,,,,,,,,,,,,,,,,GS8202 Pixel Protocol Overview | Advatek Lighting
GS8206,8.0kHz,3,8,12,No,,,,,,,,,,,,,,,,,,,GS8206 Pixel Protocol Overview | Advatek Lighting
GS8208,8.0kHz,3,8,12,No,,,,,,,,,,,,,,,,,GS8208 Pixel Protocol Overview | Advatek Lighting,,
LPD6803,1.0kHz,3,5,5,Yes,15MHz,16 Bits/Pixel,0.94 M Pixel / s,12V,5V,,5V,45mA,,SOP16/QFN16,16,LPD6803,No,,,obsolete; superseded by LPD8806,,https://cdn-shop.adafruit.com/datasheets/LPD6803.pdf,LPD6803 Pixel Protocol Overview | Advatek Lighting
LPD8806,9.4kHz,3,8,7,Yes,20MHz,32 Bits/Pixel,625.0 k Pixel / s,12V,5V,,5V,20mA,,SOP16/QFN16,16,LPD8806,No,2000,2011,"Fast refresh, fast PWM, 2 RGB pixels per IC, refresh any time",https://web.archive.org/web/20180725021448/https://www.texonix.com/LPD8806.html,https://cdn-shop.adafruit.com/datasheets/lpd8806+english.pdf,LPD8806 Pixel Protocol Overview | Advatek Lighting
MBI6020,9.8kHz,3,10,,Yes,,,,12V,,,,,,,,,,,,,,,MBI6020 Pixel Protocol Overview | Advatek Lighting
MY9221,1.0kHz,3,16,,Yes,,,,24V,,,,,,,,,,,,,,,MY9221 Pixel Protocol Overview | Advatek Lighting
MY9231,2.0kHz,3,8/12/14/16,,Yes,20MHz,,,17V,5V,,5V,350mA,,SOP16/SSOP16/QFN16,16,MY9231,No,2010,2010,,,http://www.my-semi.com/file/MY9231_BF_0.91.pdf,MY9231 Pixel Protocol Overview | Advatek Lighting
MY9291,2.0kHz,4,16,,Yes,,,,,,,,,,,,,,,,,,,MY9291 Pixel Protocol Overview | Advatek Lighting
