,Colour Group,LED Voltage,Clocked,VCC Voltage,PWM Frequency,Brightness Bits,Data BitRate,Pixel Data Size,Pixel Rate Max,GPIO Min,GPIO Max,Wattage,Channel Current,Quiescent Current,Package Size,Pin Count,Data Type,Backup Data Line,Max pixel per string,Release Year,NOTES,3rd Party Testing,Original Manufacturer,Datasheet URL,Other Links
APA104,RGB,5V,No,5V,1.2kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,100.mW,20.0mA,1.0mA,"5050, 3535, 1212",4,WS2811/12,No,,2013,WS2812b clone like SK6812,,APA Electronics,http://neon-world.com/en/product_detail.php?cid=60&id=171,APA104 Pixel Protocol Overview | Advatek Lighting
APA105,GRB,5V,No,5V,1.2kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.4V,6V,100.mW,20.0mA,1.0mA,"5050, 3535, 2020",4,WS2811/12,No,,2015,ws2812b/sk6812 with built-in capacitors,,Newstar LED Co.,http://www.newstar-ledstrip.com/productshow819.html,
CS8812,,12V,No,12V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,,,210.mW,17.5mA,,5050,,WS2811/12,Yes,,,"Built-in 8->12bit gamma correction. ""B"" version is ""without original program"".  Similar to GS8208",,Witop,https://www.superlightingled.com/PDF/CS8812-LED-Chip-Datasheet.pdf,CS8812 Pixel Protocol Overview | Advatek Lighting
GS8208,RGB,12V,No,12V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,120.mW,10.0mA,2.5mA,5050,6,WS2811/12,Yes,,2018,Built-in 8->12bit gamma correction! Similar to WS2815; early version booted with onboard patterns - now eliminated,,Genesis Systec,http://www.normandled.com/upload/201805/GS8208%20LED%20Datasheet.pdf,GS8208 Pixel Protocol Overview | Advatek Lighting
LC8808B,BGR,12V,No,5V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,4.0V,13V,65.mW,13.0mA,2.5mA,5050,6,,Yes,,,"Very similar to the GS8208, the spec sheets are almost identical",,Color,http://addressable-led.com/UploadFile/upi/file/20190318/LC8808-LED.pdf,
NS8808,RGB,12V,No,5V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,45.mW,9.0mA,2.0mA,5050,6,UCS1903,Yes,,2018,"silimar to ws2815, but UCS1903 protocol",,Newstar LED Co.,http://newstar-ledstrip.com/productshow855.html,
PL9823,RGB,6V,No,5V,800Hz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,.mW,,,5/8mm T style,4,WS2811/12,No,,2014,5mm & 8mm epoxy leaded copy of WS2811/12,https://cpldcpu.wordpress.com/2014/06/16/timing-of-ws2812-clones-pd9823/,/,https://cdn.instructables.com/ORIG/FW0/YN1X/IHDUL683/FW0YN1XIHDUL683.pdf,
SK6812,"CW,WW,Amber",5V,No,5V,1.1kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.4V,5V,100.mW,20.0mA,1.0mA,5050,4,WS2811/12,No,,2019,"replaces RGB LEDs with CW, WW, Amber for variable CCT",,Opsco/Newstar,http://newstar-ledstrip.com/productshow751.html,
SK6812,GRB & GRBW,5V,No,5V,1.1kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.4V,5V,104.mW,20.0mA,1.0mA,"5050,3535,2040",4,WS2811/12,No,,2013,WS2812 copy also available in 4 channel RGBW variant,,Opsco/Newstar,https://www.pololu.com/file/0J1233/sk6812_datasheet.pdf,SK6812 Pixel Protocol Overview | Advatek Lighting
SK6813 ,,5V,No,,1.2kHz,8,800kHz,24 Bits/Pixel,,,,.mW,,,5050,,,No,,,,,,,SK6813 Pixel Protocol Overview | Advatek Lighting
SK6813 HV,,12V,No,,1.2kHz,8,800kHz,24 Bits/Pixel,,,,.mW,,,5050,,,No,,,,,,,SK6813 Pixel Protocol Overview | Advatek Lighting
WS2812,,5V,No,5V,2.0kHz,8,800kHz,24 Bits/Pixel, ,3.0V,5V,92.5mW,18.5mA,0.7mA,5050/3535/2040/2020,4,WS2811/12,No,,2012,Individually addressable RGB pixel; cheap and everywhere,,WorldSemi,https://cdn-shop.adafruit.com/datasheets/WS2812.pdf,WS2812 Pixel Protocol Overview | Advatek Lighting
